LOGIN_ID,PASSWORD,CATEGORY_CODE,USER_ID,DOMAIN_CODE,SERVICE_CODE,SCHEDULE_DATE,NO_OF_RECORDS,REQUEST_FOR,BATCH_ID,FREQUENCY,ITERATIONS,UPLOAD_PATH,TYPE,TestcaseId,TestcaseType,Module,Description
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,,,PROCESSRESCHDL,1,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when uploaded file path is missing
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,2,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when batch id is missing
corpuser,1357,COR,,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,3,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when user id is missing
corpuser,1357,,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,4,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when category code is missing
corpuser,1357,COR,INCO0000000296,,RC,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,5,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when domain code is missing
corpuser,1357,COR,INCO0000000296,CORP,,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,6,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when service code is missing
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,7,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when no Of Records is missing
corpuser,1357,COR,INCO0000000296,CORP,RC,,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,8,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when scheduleDate is missing
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,9,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when request for is missing
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,DAILY,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,10,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when only frequency is there
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,1,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,11,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when only iteration is there
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule14817.csv,PROCESSRESCHDL,12,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when batch file is not available
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,10,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,13,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when no of records and batch file records are mismatch
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN161215.1115,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,14,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when batch id and uploaded batch id are different
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,,,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,PROCESSRESCHDL,15,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when schedule date is past
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,DAILY,1,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1481794562748.txt,PROCESSRESCHDL,16,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when file is in different format
corpuser,1357,COR,INCO0000000296,CORP,RC,30/03/17,5,reschedule,SBIN170328.0004,DAILY,ABS,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1481794562748.txt,PROCESSRESCHDL,17,NEGATIVE,Reschedule batch Recharge,To validate unsuccessful batch reschedule recharge when file is in different format
